DATE,RATE
2021-12-23,1187.59
2021-12-24,.
2021-12-27,1186.82
2021-12-28,1188.15
2021-12-29,1185.51
2021-12-30,1188.59
2021-12-31,.
2022-01-03,1191.39
2022-01-04,1193.77
2022-01-05,1196.38
2022-01-06,1205.02
2022-01-07,1200.78
2022-01-10,1199.13
2022-01-11,1194.62
2022-01-12,1187.34
2022-01-13,1187.95
2022-01-14,1186.96
2022-01-17,.
2022-01-18,1192.74
2022-01-19,1188.51
2022-01-20,1191.96
2022-01-21,1193.87
2022-01-24,1195.68
2022-01-25,1198.66
2022-01-26,1197.46
2022-01-27,1202.65
2022-01-28,1209.04
2022-01-31,1206.78
2022-02-01,1209.44
2022-02-02,1201.7
2022-02-03,1206.35
2022-02-04,1199.43
2022-02-07,1198.64
2022-02-08,1198.05
2022-02-09,1196.36
2022-02-10,1196.31
2022-02-11,1198.72
2022-02-14,1196.21
2022-02-15,1199.78
2022-02-16,1197.51
2022-02-17,1197.39
2022-02-18,1195.4
2022-02-21,.
2022-02-22,1192.07
2022-02-23,1193.42
2022-02-24,1202.34
2022-02-25,1201.93
2022-02-28,1202.28
2022-03-01,1204.34
2022-03-02,1205.58
2022-03-03,1204.35
2022-03-04,1213.71
2022-03-07,1226.78
2022-03-08,1237.18
2022-03-09,1234.01
2022-03-10,1228.21
2022-03-11,1231.47
2022-03-14,1241.46
2022-03-15,1242.65
2022-03-16,1228.04
2022-03-17,1214.33
2022-03-18,1212.2
2022-03-21,1216.12
2022-03-22,1217.09
2022-03-23,1217.92
2022-03-24,1220.45
2022-03-25,1218.77
2022-03-28,1225.46
2022-03-29,1219.21
2022-03-30,1208.46
2022-03-31,1211.55
2022-04-01,1215.29
2022-04-04,1214.72
2022-04-05,1212.55
2022-04-06,1212.55
2022-04-07,1218.96
2022-04-08,1225.13
2022-04-11,1233.38
2022-04-12,1236.03
2022-04-13,1227.17
2022-04-14,1224.18
2022-04-15,1227.97
2022-04-18,1233.73
2022-04-19,1236.53
2022-04-20,1235.28
2022-04-21,1238.13
2022-04-22,1239.66
2022-04-25,1249.87
2022-04-26,1260.37
2022-04-27,1269.35
2022-04-28,1271.5
2022-04-29,1255.87
2022-05-02,1265.24
2022-05-03,1267.82
2022-05-04,1265.22
2022-05-05,1256.05
2022-05-06,1272.58
2022-05-09,1276.29
2022-05-10,1275.02
2022-05-11,1275.04
2022-05-12,1288.65
2022-05-13,1283.51
2022-05-16,1284.79
2022-05-17,1274.33
2022-05-18,1266.36
2022-05-19,1276.91
2022-05-20,1267.87
2022-05-23,1263.85
2022-05-24,1265.97
2022-05-25,1264.58
2022-05-26,1267.83
2022-05-27,1250.13
2022-05-30,.
2022-05-31,1236.93
2022-06-01,1246.52
2022-06-02,1252.03
2022-06-03,1242.23
2022-06-06,1253.52
2022-06-07,1255.32
2022-06-08,1253.5
2022-06-09,1256.91
2022-06-10,1268.01
2022-06-13,1283.69
2022-06-14,1285.87
2022-06-15,1290.05
2022-06-16,1286.76
2022-06-17,1287.36
2022-06-20,.
2022-06-21,1293.25
2022-06-22,1297.21
2022-06-23,1300.86
2022-06-24,1298.71
2022-06-27,1286.2
2022-06-28,1290.18
2022-06-29,1298.39
2022-06-30,1298.95
2022-07-01,1297.18
2022-07-04,.
2022-07-05,1299.69
2022-07-06,1307.1
2022-07-07,1299.51
2022-07-08,1299.51
2022-07-11,1308.9
2022-07-12,1311.91
2022-07-13,1306.65
2022-07-14,1311.76
2022-07-15,1321.15
2022-07-18,1316.7
2022-07-19,1313.52
2022-07-20,1313.1
2022-07-21,1307.58
2022-07-22,1312.82
2022-07-25,1313.27
2022-07-26,1308.33
2022-07-27,1313.14
2022-07-28,1299.69
2022-07-29,1299.08
2022-08-01,1304.18
2022-08-02,1304.89
2022-08-03,1310.69
2022-08-04,1310.2
2022-08-05,1298.22
2022-08-08,1306.11
2022-08-09,1304.5
2022-08-10,1310.54
2022-08-11,1302.72
2022-08-12,1302.13
2022-08-15,1305.85
2022-08-16,1308.54
2022-08-17,1310.16
2022-08-18,1319.94
2022-08-19,1325.5
2022-08-22,1339.4
2022-08-23,1339.4
2022-08-24,1342.05
2022-08-25,1335.46
2022-08-26,1331.17
2022-08-29,1349.8
2022-08-30,1346.37
2022-08-31,1338.66
2022-09-01,1354.34
2022-09-02,1362.2
2022-09-05,.
2022-09-06,1378.95
2022-09-07,1383.72
2022-09-08,1380.51
2022-09-09,1376.74
2022-09-12,1377.38
2022-09-13,1373.76
2022-09-14,1391.1
2022-09-15,1393.93
2022-09-16,1384.48
2022-09-19,1393.05
2022-09-20,1389.86
2022-09-21,1395.92
2022-09-22,1412.29
2022-09-23,1409.42
2022-09-26,1432.47
2022-09-27,1422.39
2022-09-28,1440.5
2022-09-29,1439.15
2022-09-30,1431.67
2022-10-03,1434.83
2022-10-04,1425.75
2022-10-05,1410.74
2022-10-06,1402.33
2022-10-07,1412.54
2022-10-10,.
2022-10-11,1435.36
2022-10-12,1423.81
2022-10-13,1430.4
2022-10-14,1428.06
2022-10-17,1434.73
2022-10-18,1422.19
2022-10-19,1426.07
2022-10-20,1431.63
2022-10-21,1440.31
2022-10-24,1439.14
2022-10-25,1432.46
2022-10-26,1425.68
2022-10-27,1419.0
2022-10-28,1421.67
2022-10-31,1424.6
2022-11-01,1416.2
2022-11-02,1418.31
2022-11-03,1423.99
2022-11-04,1423.99
2022-11-07,1402.05
2022-11-08,1384.61
2022-11-09,1364.85
2022-11-10,1377.52
2022-11-11,.
2022-11-14,1327.38
2022-11-15,1317.88
2022-11-16,1326.46
2022-11-17,1338.97
2022-11-18,1339.61
2022-11-21,1354.87
2022-11-22,1356.66
2022-11-23,1352.49
2022-11-24,.
2022-11-25,1325.22
2022-11-28,1340.66
2022-11-29,1327.24
2022-11-30,1316.84
2022-12-01,1299.11
2022-12-02,1300.5
2022-12-05,1292.58
2022-12-06,1319.31
2022-12-07,1322.23
2022-12-08,1317.56
2022-12-09,1301.61
2022-12-12,1307.62
2022-12-13,1301.47
2022-12-14,1294.79
2022-12-15,1302.91
2022-12-16,1307.73
2022-12-19,1302.29
2022-12-20,1290.41
2022-12-21,1284.7
2022-12-22,1275.68
2022-12-23,1280.02